53c97700000000 8c412500000000
116ccc00000000 7cae4b00000000
712a9f00000000 2286a200000000
6f4b5f00000000 e1c6a400000000
da03de00000000 02e2e000000000
02ee3200000000 20b7ae00000000
1c7e8300000000 f0aaab00000000
0ac6dd00000000 c98b0400000000
1637ec00000000 5506c900000000
e8d36500000000 720ddf00000000
25f5a000000000 62dbb700000000
e2ec8e00000000 f8267000000000
e83a2700000000 4dd9ef00000000
343dd400000000 403ab500000000
02e2e000000000 da03de00000000
ee977500000000 b6c35400000000
370c1900000000 97471500000000
5ae3a200000000 420bb500000000
7cae4b00000000 116ccc00000000
2e7bb200000000 c9d0f500000000
83d16900000000 52ab9c00000000
6faf5f00000000 2b587000000000
97f52000000000 736c2000000000
fc9c9b00000000 f64bf500000000
116ccc00000000 7cae4b00000000
72562f00000000 2c658400000000
6d356c00000000 9206de00000000
7942f400000000 de813800000000
89ffec00000000 fad8fa00000000
7edee900000000 deb85a00000000
e6026000000000 9abeba00000000
35866f00000000 21e3cd00000000
8a75af00000000 66ab8000000000
8ecfbd00000000 65510400000000
41b5d700000000 0718c000000000
2b9a9700000000 7617c400000000
a0eee400000000 1831c000000000
15bf6e00000000 ed871e00000000
d5014200000000 408c4a00000000
de83b200000000 ef121600000000
3a0ea900000000 a31a6100000000
46479600000000 cb174a00000000
6f4b5f00000000 e1c6a400000000
86940000000000 b3061700000000
6456c500000000 689ee900000000
0ff50100000000 7ce1d800000000
ad845a00000000 f7414c00000000
255b0200000000 17f45300000000
52ab9c00000000 83d16900000000
0fbcea00000000 c1628700000000
e2570800000000 e1303a00000000
8607d200000000 9246db00000000
5dad9e00000000 ce0cf900000000
78683c00000000 da414400000000
d576da00000000 8ac33100000000
9dc84e00000000 3f35a000000000
da03de00000000 02e2e000000000
f1445000000000 e5afc400000000
c524d600000000 89172400000000
1ae97700000000 d7318000000000
eea70100000000 01f30400000000
7ef2d000000000 e8dfb500000000
370c1900000000 97471500000000
81a9d100000000 0d71c100000000
c85fd500000000 1d0a8f00000000
92ee1b00000000 9eff1800000000
6c5a1300000000 ccce6b00000000
b09ac800000000 66bd4800000000
f64bf500000000 fc9c9b00000000
385add00000000 ea46ae00000000
255b0200000000 17f45300000000
31003000000000 4da15200000000
42b53600000000 23bb0500000000
3769b000000000 352a6d00000000
7f34a900000000 f2b76300000000
ccce6b00000000 6c5a1300000000
d8d6da00000000 09938800000000
fafa1100000000 ff583600000000
45f1f400000000 e9f4e200000000
fafa1100000000 ff583600000000
d81e7800000000 77c4fb00000000
3a750e00000000 8d1a3900000000
52ab9c00000000 83d16900000000
2a1b0a00000000 707e3500000000
3f35a000000000 9dc84e00000000
3d650600000000 605caa00000000
be72cc00000000 0a3a7f00000000
5506c900000000 1637ec00000000
71561200000000 bb2c6700000000
dcdf5d00000000 aa825300000000
49d24400000000 ecc32f00000000
20b7ae00000000 02ee3200000000
255b0200000000 17f45300000000
28932b00000000 75140600000000
7f5e0300000000 2f56b000000000
7b5b9700000000 8253bb00000000
aa823e00000000 8d900500000000
5ae3a200000000 420bb500000000
28932b00000000 75140600000000
2c67d100000000 e2a30400000000
cf6aca00000000 cc480400000000
343dd400000000 403ab500000000
9dc84e00000000 3f35a000000000
fa911800000000 2f0df900000000
0801ad00000000 006e4000000000
0cebe000000000 1d367300000000
77221200000000 22a68400000000
f211d800000000 8e075400000000
426fde00000000 f2e1e700000000
78683c00000000 da414400000000
20b7ae00000000 02ee3200000000
38546900000000 49428600000000
415f5100000000 3e932d00000000
38546900000000 49428600000000
97a59900000000 7bb1aa00000000
334d6300000000 cf1df600000000
f64bf500000000 fc9c9b00000000
21238500000000 af573500000000
15f9ea00000000 77274f00000000
20b7ae00000000 02ee3200000000
21238500000000 af573500000000
370c1900000000 97471500000000
6f4b5f00000000 e1c6a400000000
8b16dc00000000 8d07af00000000
2c67d100000000 e2a30400000000
84327200000000 fc3ee200000000
2b9a9700000000 7617c400000000
ff632700000000 f492d700000000
3f35a000000000 9dc84e00000000
f0c89d00000000 550e2a00000000
1831c000000000 a0eee400000000
76cbf600000000 8f112e00000000
59d0c900000000 def5ee00000000
7e209900000000 a8652300000000
c611fe00000000 24fb9c00000000
331b6800000000 c78f3000000000
48a11a00000000 e20b0200000000
cdc32400000000 3f62ed00000000
57139b00000000 56d20100000000
d0c5b300000000 afbc4300000000
a3a1dc00000000 15cfa200000000
02ee3200000000 20b7ae00000000
f34c5e00000000 e3fa1800000000
736c2000000000 97f52000000000
9e301100000000 a448f700000000
7dbf7400000000 c577ea00000000
5e246b00000000 fda26100000000
7f5e0300000000 2f56b000000000
334d6300000000 cf1df600000000
9eff1800000000 92ee1b00000000
da03de00000000 02e2e000000000
f45dee00000000 6ce32500000000
cf1df600000000 334d6300000000
ccce6b00000000 6c5a1300000000
759fc100000000 65f7ea00000000
255b0200000000 17f45300000000
343dd400000000 403ab500000000
90e69100000000 a9522000000000
20b7ae00000000 02ee3200000000
759fc100000000 65f7ea00000000
8900be00000000 9fb25500000000
23c68d00000000 1cd77d00000000
68f88f00000000 0e626000000000
c323f200000000 259cb500000000
4afc0200000000 fcde0200000000
7617c400000000 2b9a9700000000
5f3ca500000000 e3962d00000000
0ff50100000000 7ce1d800000000
e9dd0600000000 39fd9700000000
6c02a900000000 215f8600000000
ce001200000000 bac0ca00000000
7f5e0300000000 2f56b000000000
2fe15000000000 70516800000000
99e52900000000 6ac9ad00000000
6ac9ad00000000 99e52900000000
c85aca00000000 f0088b00000000
053dd500000000 741ba600000000
fcde0200000000 4afc0200000000
d58b5f00000000 c1755b00000000
689cac00000000 0ae5a500000000
91287200000000 3cd80800000000
4a3f0300000000 fa10b900000000
674c7b00000000 17492b00000000
a131f900000000 2df92000000000
1831c000000000 a0eee400000000
0801ad00000000 006e4000000000
02ee3200000000 20b7ae00000000
baa98300000000 9fc41200000000
6af79900000000 4d363000000000
48644600000000 dbf06a00000000
fab8d100000000 47cd3d00000000
2c67d100000000 e2a30400000000
e14e8c00000000 b9164a00000000
52c67000000000 b890a900000000
cf53e200000000 1fc79800000000
b6a7b800000000 bf41ce00000000
3f35a000000000 9dc84e00000000
a6518c00000000 8527c600000000
415f5100000000 3e932d00000000
b58db400000000 0a342800000000
403ab500000000 343dd400000000
19150c00000000 e8672900000000
ad845a00000000 f7414c00000000
02ee3200000000 20b7ae00000000
d14ffd00000000 133d5c00000000
6ac9ad00000000 99e52900000000
1889f500000000 6bdd9f00000000
7dbf7400000000 c577ea00000000
38546900000000 49428600000000
bc451800000000 ecdb4900000000
b9dc7900000000 e741cf00000000
0b0fe400000000 1196f100000000
69085a00000000 d0b6c900000000
fff56400000000 96de2100000000
28d66100000000 c14aa200000000
aa823e00000000 8d900500000000
2e7bb200000000 c9d0f500000000
19260200000000 dfee4500000000
5506c900000000 1637ec00000000
cf925300000000 6fe3bf00000000
e027a300000000 1af86900000000
f31d5c00000000 5bff9200000000
7ef2d000000000 e8dfb500000000
0ff50100000000 7ce1d800000000
02e2e000000000 da03de00000000
84327200000000 fc3ee200000000
53f3ba00000000 9813ed00000000
6ab8d300000000 3883d100000000
fab8d100000000 47cd3d00000000
c9d0f500000000 2e7bb200000000
9dc84e00000000 3f35a000000000
c14aa200000000 28d66100000000
d58b5f00000000 c1755b00000000
6ac9ad00000000 99e52900000000
343dd400000000 403ab500000000
3f62ed00000000 cdc32400000000
c8166d00000000 1cc30200000000
2aa0fa00000000 9c034a00000000
33697800000000 812e2400000000
80897200000000 0341fd00000000
bf833800000000 6fca3800000000
0ff50100000000 7ce1d800000000
2e7bb200000000 c9d0f500000000
dc492b00000000 1ecf3c00000000
1d367300000000 0cebe000000000
415f5100000000 3e932d00000000
1c7e8300000000 f0aaab00000000
370c1900000000 97471500000000
20b7ae00000000 02ee3200000000
9eff1800000000 92ee1b00000000
9f4e6200000000 15500a00000000
3d650600000000 605caa00000000
02ee3200000000 20b7ae00000000
60f19c00000000 a79ab100000000
4ff47b00000000 068b4f00000000
15f9ea00000000 77274f00000000
52ab9c00000000 83d16900000000
02ee3200000000 20b7ae00000000
6485d000000000 27af0500000000
fdf1bf00000000 32ef4e00000000
265d5800000000 86346d00000000
86940000000000 b3061700000000
f8754a00000000 3a30db00000000
2c95c100000000 33ede100000000
44d96400000000 9998d500000000
41b5d700000000 0718c000000000
7ce1d800000000 0ff50100000000
f8754a00000000 3a30db00000000
370c1900000000 97471500000000
370c1900000000 97471500000000
20b7ae00000000 02ee3200000000
47cd3d00000000 fab8d100000000
e741cf00000000 b9dc7900000000
90e69100000000 a9522000000000
7ce1d800000000 0ff50100000000
aa823e00000000 8d900500000000
a9522000000000 90e69100000000
5429fa00000000 66aad100000000
b02b9600000000 eeaec800000000
5c826400000000 c007d200000000
da03de00000000 02e2e000000000
7697cb00000000 c261b000000000
02ee3200000000 20b7ae00000000
25f5a000000000 62dbb700000000
93ebb200000000 daabee00000000
81c4ca00000000 953e0200000000
9f66df00000000 9cb7e500000000
c0a37300000000 ec394b00000000
0ff50100000000 7ce1d800000000
116ccc00000000 7cae4b00000000
ed9f5700000000 f4507600000000
0be47900000000 7b573500000000
52ab9c00000000 83d16900000000
8fe2e700000000 6bbb9a00000000
1831c000000000 a0eee400000000
37436900000000 45787c00000000
46479600000000 cb174a00000000
463bda00000000 76fbd500000000
39ad2200000000 94e53700000000
fab8d100000000 47cd3d00000000
b660b800000000 fae91800000000
83d16900000000 52ab9c00000000
6ac9ad00000000 99e52900000000
46479600000000 cb174a00000000
bd4fbb00000000 b146f600000000
2b587000000000 6faf5f00000000
